Date,MSTR_Close,BTC-USD_Close,BTC_Purchased,Total_BTC,Total_Investment_USD,Total_Assets,Total_Liabilities,Gross_Profit,MSTR_Market_Cap_USD,BTC_Holdings_Value_USD,BTC_to_Market_Cap_Ratio,Financial_Leverage_Ratio,Net_Assets_USD,BTC_to_Net_Assets_Ratio,Gross_Profit_Margin,Year
2020-07-30,12.0,11111,,,,,375000000.0,87000000.0,2235198447.0,,,,,,0.03892,2020
2020-07-31,12.0,11323,,,,,375000000.0,87000000.0,2267587332.0,,,,,,0.03837,2020
2020-08-01,12.0,11759,,,,,375000000.0,87000000.0,2267587332.0,,,,,,0.03837,2020
2020-08-02,12.0,11053,,,,,375000000.0,87000000.0,2267587332.0,,,,,,0.03837,2020
2020-08-03,12.0,11246,,,,,375000000.0,87000000.0,2262829640.0,,,,,,0.03845,2020
2020-08-04,12.0,11205,,,,,375000000.0,87000000.0,2256607975.0,,,,,,0.03855,2020
2020-08-05,12.0,11747,,,,,375000000.0,87000000.0,2268136343.0,,,,,,0.03836,2020
2020-08-06,12.0,11779,,,,,375000000.0,87000000.0,2257156986.0,,,,,,0.03854,2020
2020-08-07,12.0,11601,,,,,375000000.0,87000000.0,2257888885.0,,,,,,0.03853,2020
2020-08-08,12.0,11754,,,,,375000000.0,87000000.0,2257888885.0,,,,,,0.03853,2020
2020-08-09,12.0,11675,,,,,375000000.0,87000000.0,2257888885.0,,,,,,0.03853,2020
2020-08-10,12.0,11878,,,,,375000000.0,87000000.0,2262097741.0,,,,,,0.03846,2020
2020-08-11,13.0,11410,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2468325190.0,244801411.0,0.09918,,,,0.03525,2020
2020-08-12,13.0,11584,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2507667638.0,248543186.0,0.09911,,,,0.03469,2020
2020-08-13,13.0,11784,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2506935565.0,252816890.0,0.1008,,,,0.0347,2020
2020-08-14,14.0,11768,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2683153063.0,252489360.0,0.0941,,,,0.03242,2020
2020-08-15,14.0,11865,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2683153063.0,254566690.0,0.09488,,,,0.03242,2020
2020-08-16,14.0,11892,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2683153063.0,255148210.0,0.09509,,,,0.03242,2020
2020-08-17,14.0,12254,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2632099359.0,262905947.0,0.09988,,,,0.03305,2020
2020-08-18,14.0,11991,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2619290255.0,257259921.0,0.09822,,,,0.03322,2020
2020-08-19,14.0,11758,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2592390962.0,252262207.0,0.09731,,,,0.03356,2020
2020-08-20,14.0,11878,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2637588951.0,254838594.0,0.09662,,,,0.03298,2020
2020-08-21,14.0,11592,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2654789972.0,248705264.0,0.09368,,,,0.03277,2020
2020-08-22,14.0,11681,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2654789972.0,250621877.0,0.0944,,,,0.03277,2020
2020-08-23,14.0,11664,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2654789972.0,250257641.0,0.09427,,,,0.03277,2020
2020-08-24,14.0,11774,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2718835667.0,252612176.0,0.09291,,,,0.032,2020
2020-08-25,14.0,11366,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2689191666.0,243849055.0,0.09068,,,,0.03235,2020
2020-08-26,14.0,11488,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2672722718.0,246471345.0,0.09222,,,,0.03255,2020
2020-08-27,14.0,11323,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2681140254.0,242932169.0,0.09061,,,,0.03245,2020
2020-08-28,14.0,11542,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2687910755.0,247632795.0,0.09213,,,,0.03237,2020
2020-08-29,14.0,11506,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2687910755.0,246868286.0,0.09184,,,,0.03237,2020
2020-08-30,14.0,11711,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2687910755.0,251258646.0,0.09348,,,,0.03237,2020
2020-08-31,14.0,11680,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2643078716.0,250600318.0,0.09481,,,,0.03292,2020
2020-09-01,14.0,11970,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2723227410.0,256814646.0,0.09431,,,,0.03195,2020
2020-09-02,15.0,11414,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2744820000.0,244876689.0,0.08921,,,,0.0317,2020
2020-09-03,14.0,10245,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2640150946.0,219802599.0,0.08325,,,,0.03295,2020
2020-09-04,14.0,10511,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2601906346.0,225520446.0,0.08668,,,,0.03344,2020
2020-09-05,14.0,10169,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2601906346.0,218177898.0,0.08385,,,,0.03344,2020
2020-09-06,14.0,10280,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2601906346.0,220554662.0,0.08477,,,,0.03344,2020
2020-09-07,14.0,10369,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2601906346.0,222468614.0,0.0855,,,,0.03344,2020
2020-09-08,13.0,10131,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2540239410.0,217361557.0,0.08557,,,,0.03425,2020
