Date,MSTR_Close,BTC-USD_Close,^GSPC_Close,BTC_Purchased,Total_BTC,Total_Investment_USD,Total_Assets,Total_Liabilities,Gross_Profit,MSTR_Market_Cap_USD,BTC_Holdings_Value_USD,BTC_to_Market_Cap_Ratio,Financial_Leverage_Ratio,Net_Assets_USD,BTC_to_Net_Assets_Ratio,Gross_Profit_Margin,Year
2023-11-30,48,36595,4463,687.0,158937.0,4709666666.0,3373941000.0,2534000000,103000000,8963185315,5817109397.0,0.6497,0.7511,839941000.0,6.926,0.01152,2023
2023-12-31,58,42546,4687,15886.0,176888.0,5380000000.0,3418734129.0,2536064516,102774193,10783630407,7525970552.0,0.6988,0.7445,882669612.0,8.772,0.009567,2023
2024-01-31,52,42919,4801,14620.0,189150.0,5900000000.0,4762528000.0,2598000000,96000000,9724377863,8118244684.0,0.8444,0.5455,2164528000.0,3.751,0.01003,2024
2024-02-29,66,49874,5013,3520.0,190267.0,5946896551.0,4762528000.0,2598000000,96000000,12319597795,9494338672.0,0.7838,0.5455,2164528000.0,4.386,0.008085,2024
2024-03-31,152,67701,5173,7941.0,205006.0,6905483870.0,4813786419.0,2641645161,95645161,27990853908,13886938317.0,0.5048,0.548,2172141258.0,6.393,0.003518,2024
2024-04-30,136,65881,5108,9245.0,214246.0,7530000000.0,6351539000.0,3951000000,85000000,25098011815,14115036513.0,0.5676,0.6221,2400539000.0,5.88,0.003431,2024
2024-05-31,142,65265,5238,164.0,214400.0,7538000000.0,6351539000.0,3951000000,85000000,26152143068,13993098426.0,0.5432,0.6221,2400539000.0,5.829,0.003326,2024
2024-06-30,151,65899,5410,4478.0,218774.0,7828400000.0,6374923466.0,3959900000,84866666,27772039840,14401167419.0,0.5194,0.6213,2415023466.0,5.969,0.003065,2024
2024-07-31,152,62804,5537,11931.0,226331.0,8330000000.0,7053073000.0,4218000000,81000000,27921111809,14214614814.0,0.5132,0.598,2835073000.0,5.014,0.002948,2024
2024-08-31,136,59920,5481,169.0,226500.0,8340000000.0,7053073000.0,4218000000,81000000,25141039605,13572151251.0,0.5403,0.598,2835073000.0,4.787,0.00323,2024
2024-09-30,139,60358,5622,7058.0,240200.0,9174666666.0,7053073000.0,4218000000,81000000,25678706188,14535136319.0,0.5682,0.598,2835073000.0,5.127,0.003204,2024
2024-10-31,168,61276,5723,7420.0,252220.0,9910000000.0,7053073000.0,4218000000,81000000,30879590774,15455366714.0,0.501,0.598,2835073000.0,5.451,0.002627,2024
